lang,n,date
en,590430,2020-10-14
es,94372,2020-10-14
fr,45376,2020-10-14
pt,27682,2020-10-14
it,21921,2020-10-14
und,20251,2020-10-14
in,14875,2020-10-14
de,10456,2020-10-14
nl,9586,2020-10-14
ca,6497,2020-10-14
tl,6024,2020-10-14
pl,5301,2020-10-14
tr,4678,2020-10-14
ja,3621,2020-10-14
ru,2769,2020-10-14
hi,1938,2020-10-14
cs,1710,2020-10-14
ro,1150,2020-10-14
el,966,2020-10-14
et,720,2020-10-14
ar,665,2020-10-14
lv,640,2020-10-14
sv,554,2020-10-14
sl,501,2020-10-14
zh,385,2020-10-14
fi,350,2020-10-14
ta,317,2020-10-14
da,308,2020-10-14
ht,278,2020-10-14
th,264,2020-10-14
lt,242,2020-10-14
uk,223,2020-10-14
mr,195,2020-10-14
ur,194,2020-10-14
cy,191,2020-10-14
bn,162,2020-10-14
ml,162,2020-10-14
gu,153,2020-10-14
no,133,2020-10-14
vi,125,2020-10-14
hu,121,2020-10-14
kn,105,2020-10-14
bg,103,2020-10-14
fa,102,2020-10-14
eu,101,2020-10-14
iw,93,2020-10-14
ko,86,2020-10-14
te,76,2020-10-14
or,66,2020-10-14
is,60,2020-10-14
ne,54,2020-10-14
si,45,2020-10-14
hy,17,2020-10-14
my,17,2020-10-14
pa,17,2020-10-14
sr,17,2020-10-14
ps,9,2020-10-14
am,4,2020-10-14
ka,2,2020-10-14
lo,2,2020-10-14
ckb,1,2020-10-14
ug,1,2020-10-14
