lang,n,date
en,243978,2021-12-12
es,28616,2021-12-12
fr,15142,2021-12-12
pt,10734,2021-12-12
und,8940,2021-12-12
it,8314,2021-12-12
de,7581,2021-12-12
in,5119,2021-12-12
nl,3603,2021-12-12
pl,3314,2021-12-12
ja,2493,2021-12-12
tr,2141,2021-12-12
tl,1778,2021-12-12
ca,1637,2021-12-12
sv,982,2021-12-12
hi,924,2021-12-12
ru,876,2021-12-12
cs,815,2021-12-12
el,813,2021-12-12
da,376,2021-12-12
et,370,2021-12-12
ro,358,2021-12-12
ar,316,2021-12-12
zh,294,2021-12-12
fi,289,2021-12-12
th,228,2021-12-12
no,189,2021-12-12
ta,150,2021-12-12
lv,146,2021-12-12
uk,126,2021-12-12
sl,113,2021-12-12
hu,98,2021-12-12
ht,93,2021-12-12
vi,93,2021-12-12
mr,88,2021-12-12
ko,75,2021-12-12
bn,70,2021-12-12
ml,68,2021-12-12
gu,57,2021-12-12
kn,57,2021-12-12
cy,54,2021-12-12
iw,52,2021-12-12
te,48,2021-12-12
ur,42,2021-12-12
is,38,2021-12-12
eu,34,2021-12-12
lt,34,2021-12-12
or,32,2021-12-12
bg,26,2021-12-12
fa,23,2021-12-12
pa,19,2021-12-12
sr,15,2021-12-12
si,10,2021-12-12
ne,9,2021-12-12
am,5,2021-12-12
my,4,2021-12-12
ka,2,2021-12-12
ckb,1,2021-12-12
hy,1,2021-12-12
lo,1,2021-12-12
