lang,n,date
en,472755,2022-01-14
es,112648,2022-01-14
pt,62392,2022-01-14
fr,36177,2022-01-14
und,17433,2022-01-14
it,17182,2022-01-14
de,8900,2022-01-14
nl,8636,2022-01-14
in,7670,2022-01-14
tl,5672,2022-01-14
tr,4631,2022-01-14
ja,4617,2022-01-14
pl,3872,2022-01-14
ca,2815,2022-01-14
hi,2487,2022-01-14
sv,2098,2022-01-14
ru,1388,2022-01-14
el,1210,2022-01-14
cs,1057,2022-01-14
et,963,2022-01-14
ro,632,2022-01-14
ar,519,2022-01-14
th,479,2022-01-14
fi,451,2022-01-14
da,438,2022-01-14
zh,434,2022-01-14
no,305,2022-01-14
lv,285,2022-01-14
ht,280,2022-01-14
bn,242,2022-01-14
ml,233,2022-01-14
is,212,2022-01-14
uk,206,2022-01-14
sl,205,2022-01-14
mr,198,2022-01-14
kn,172,2022-01-14
ta,155,2022-01-14
vi,150,2022-01-14
hu,140,2022-01-14
cy,138,2022-01-14
ur,127,2022-01-14
ko,124,2022-01-14
te,109,2022-01-14
gu,104,2022-01-14
or,77,2022-01-14
eu,72,2022-01-14
bg,67,2022-01-14
ne,57,2022-01-14
iw,53,2022-01-14
lt,53,2022-01-14
fa,49,2022-01-14
pa,27,2022-01-14
sr,27,2022-01-14
si,11,2022-01-14
am,5,2022-01-14
hy,4,2022-01-14
lo,4,2022-01-14
my,2,2022-01-14
ps,2,2022-01-14
sd,2,2022-01-14
dv,1,2022-01-14
ka,1,2022-01-14
km,1,2022-01-14
