lang,n,date
en,179017,2021-10-30
es,27015,2021-10-30
fr,9898,2021-10-30
pt,8376,2021-10-30
und,7833,2021-10-30
in,6577,2021-10-30
it,6560,2021-10-30
de,5683,2021-10-30
nl,3605,2021-10-30
ja,3148,2021-10-30
tr,2542,2021-10-30
tl,2322,2021-10-30
pl,1750,2021-10-30
ru,1692,2021-10-30
cs,1107,2021-10-30
el,893,2021-10-30
hi,773,2021-10-30
ca,616,2021-10-30
sv,487,2021-10-30
ro,468,2021-10-30
lv,371,2021-10-30
zh,361,2021-10-30
uk,357,2021-10-30
th,348,2021-10-30
et,345,2021-10-30
ar,309,2021-10-30
sl,294,2021-10-30
fi,208,2021-10-30
ta,163,2021-10-30
da,151,2021-10-30
vi,139,2021-10-30
bn,93,2021-10-30
ml,88,2021-10-30
no,88,2021-10-30
ht,68,2021-10-30
mr,66,2021-10-30
bg,62,2021-10-30
ko,61,2021-10-30
ur,54,2021-10-30
te,51,2021-10-30
gu,50,2021-10-30
lt,43,2021-10-30
cy,36,2021-10-30
or,32,2021-10-30
iw,29,2021-10-30
hu,28,2021-10-30
is,26,2021-10-30
fa,25,2021-10-30
kn,20,2021-10-30
pa,13,2021-10-30
ne,12,2021-10-30
si,12,2021-10-30
eu,11,2021-10-30
sr,11,2021-10-30
hy,7,2021-10-30
km,2,2021-10-30
lo,2,2021-10-30
my,2,2021-10-30
am,1,2021-10-30
bo,1,2021-10-30
sd,1,2021-10-30
