lang,n,date
en,309232,2020-09-07
es,102102,2020-09-07
pt,26142,2020-09-07
fr,23849,2020-09-07
in,21073,2020-09-07
und,15073,2020-09-07
it,9968,2020-09-07
tr,8189,2020-09-07
tl,6155,2020-09-07
ca,4033,2020-09-07
de,3522,2020-09-07
ja,3295,2020-09-07
hi,2875,2020-09-07
nl,2407,2020-09-07
ru,1954,2020-09-07
pl,1438,2020-09-07
ro,804,2020-09-07
el,781,2020-09-07
et,650,2020-09-07
ar,619,2020-09-07
cs,555,2020-09-07
sv,553,2020-09-07
ta,444,2020-09-07
mr,381,2020-09-07
da,303,2020-09-07
zh,299,2020-09-07
uk,292,2020-09-07
fi,258,2020-09-07
ml,242,2020-09-07
th,223,2020-09-07
kn,194,2020-09-07
gu,193,2020-09-07
lt,193,2020-09-07
lv,183,2020-09-07
te,176,2020-09-07
bn,174,2020-09-07
ur,167,2020-09-07
ht,148,2020-09-07
sl,140,2020-09-07
cy,134,2020-09-07
vi,128,2020-09-07
hu,123,2020-09-07
no,120,2020-09-07
eu,116,2020-09-07
ko,100,2020-09-07
or,84,2020-09-07
iw,76,2020-09-07
fa,64,2020-09-07
ne,57,2020-09-07
bg,46,2020-09-07
pa,43,2020-09-07
is,36,2020-09-07
sr,25,2020-09-07
my,20,2020-09-07
hy,11,2020-09-07
am,10,2020-09-07
si,9,2020-09-07
ps,5,2020-09-07
km,2,2020-09-07
ckb,1,2020-09-07
ka,1,2020-09-07
lo,1,2020-09-07
