lang,n,date
en,493724,2020-05-29
es,158071,2020-05-29
pt,47657,2020-05-29
in,27406,2020-05-29
und,26482,2020-05-29
fr,25325,2020-05-29
it,14126,2020-05-29
tl,9277,2020-05-29
ja,6830,2020-05-29
hi,5963,2020-05-29
de,5881,2020-05-29
ca,5488,2020-05-29
tr,5326,2020-05-29
ru,3231,2020-05-29
nl,3095,2020-05-29
ar,1809,2020-05-29
pl,1198,2020-05-29
sv,1000,2020-05-29
ro,973,2020-05-29
ta,855,2020-05-29
et,795,2020-05-29
el,724,2020-05-29
th,701,2020-05-29
mr,653,2020-05-29
ur,609,2020-05-29
lv,427,2020-05-29
bn,412,2020-05-29
da,405,2020-05-29
lt,399,2020-05-29
uk,379,2020-05-29
zh,372,2020-05-29
cs,359,2020-05-29
ml,355,2020-05-29
fi,313,2020-05-29
gu,296,2020-05-29
ht,262,2020-05-29
kn,239,2020-05-29
fa,203,2020-05-29
te,200,2020-05-29
vi,193,2020-05-29
cy,185,2020-05-29
eu,163,2020-05-29
ne,136,2020-05-29
ko,134,2020-05-29
sl,127,2020-05-29
no,123,2020-05-29
or,105,2020-05-29
hu,94,2020-05-29
pa,74,2020-05-29
bg,64,2020-05-29
iw,54,2020-05-29
ps,51,2020-05-29
is,41,2020-05-29
sr,36,2020-05-29
si,26,2020-05-29
hy,16,2020-05-29
my,14,2020-05-29
am,12,2020-05-29
ka,9,2020-05-29
ckb,7,2020-05-29
km,7,2020-05-29
sd,7,2020-05-29
dv,4,2020-05-29
lo,2,2020-05-29
bo,1,2020-05-29
