lang,n,date
en,486073,2020-10-25
es,84514,2020-10-25
it,28292,2020-10-25
fr,25278,2020-10-25
und,19968,2020-10-25
pt,18401,2020-10-25
in,12094,2020-10-25
de,11071,2020-10-25
nl,6828,2020-10-25
tl,5942,2020-10-25
ca,5836,2020-10-25
tr,5164,2020-10-25
pl,2897,2020-10-25
ja,2710,2020-10-25
cs,1872,2020-10-25
ru,1816,2020-10-25
hi,1507,2020-10-25
el,1289,2020-10-25
ro,875,2020-10-25
et,612,2020-10-25
ar,599,2020-10-25
sv,503,2020-10-25
da,478,2020-10-25
lv,293,2020-10-25
zh,277,2020-10-25
sl,262,2020-10-25
ta,252,2020-10-25
ht,238,2020-10-25
th,236,2020-10-25
uk,236,2020-10-25
fi,208,2020-10-25
lt,174,2020-10-25
ne,165,2020-10-25
no,162,2020-10-25
mr,153,2020-10-25
iw,132,2020-10-25
ml,128,2020-10-25
hu,127,2020-10-25
cy,107,2020-10-25
vi,104,2020-10-25
bg,95,2020-10-25
is,95,2020-10-25
bn,93,2020-10-25
kn,85,2020-10-25
gu,81,2020-10-25
eu,78,2020-10-25
fa,72,2020-10-25
ur,72,2020-10-25
si,66,2020-10-25
ko,65,2020-10-25
or,64,2020-10-25
te,58,2020-10-25
sr,15,2020-10-25
hy,11,2020-10-25
my,10,2020-10-25
pa,8,2020-10-25
ka,5,2020-10-25
bo,2,2020-10-25
ckb,2,2020-10-25
am,1,2020-10-25
dv,1,2020-10-25
lo,1,2020-10-25
ps,1,2020-10-25
ug,1,2020-10-25
