lang,n,date
en,250377,2021-11-09
es,36018,2021-11-09
fr,18125,2021-11-09
pt,12319,2021-11-09
und,11103,2021-11-09
de,10697,2021-11-09
it,9817,2021-11-09
in,8352,2021-11-09
nl,8005,2021-11-09
ja,3513,2021-11-09
tl,2854,2021-11-09
tr,2608,2021-11-09
ru,2281,2021-11-09
el,2229,2021-11-09
pl,2155,2021-11-09
ca,1092,2021-11-09
cs,1072,2021-11-09
hi,695,2021-11-09
ro,600,2021-11-09
sv,590,2021-11-09
lv,548,2021-11-09
uk,485,2021-11-09
da,464,2021-11-09
sl,426,2021-11-09
zh,426,2021-11-09
ar,350,2021-11-09
et,341,2021-11-09
th,341,2021-11-09
fi,267,2021-11-09
no,134,2021-11-09
ht,130,2021-11-09
vi,125,2021-11-09
bg,112,2021-11-09
ta,105,2021-11-09
bn,104,2021-11-09
cy,100,2021-11-09
ml,98,2021-11-09
hu,76,2021-11-09
mr,65,2021-11-09
lt,55,2021-11-09
is,53,2021-11-09
ko,49,2021-11-09
ur,48,2021-11-09
te,43,2021-11-09
gu,41,2021-11-09
iw,40,2021-11-09
fa,33,2021-11-09
eu,32,2021-11-09
kn,32,2021-11-09
or,30,2021-11-09
si,19,2021-11-09
sr,19,2021-11-09
pa,15,2021-11-09
ne,9,2021-11-09
hy,7,2021-11-09
my,5,2021-11-09
ka,3,2021-11-09
am,2,2021-11-09
ps,2,2021-11-09
km,1,2021-11-09
lo,1,2021-11-09
