lang,n,date
en,527057,2020-07-02
es,130290,2020-07-02
pt,40116,2020-07-02
und,27623,2020-07-02
fr,16312,2020-07-02
in,13948,2020-07-02
it,8991,2020-07-02
tl,6073,2020-07-02
ja,5954,2020-07-02
tr,4107,2020-07-02
de,3770,2020-07-02
ca,3600,2020-07-02
hi,2551,2020-07-02
ru,2231,2020-07-02
nl,1911,2020-07-02
ar,1219,2020-07-02
ro,999,2020-07-02
pl,898,2020-07-02
et,785,2020-07-02
sv,727,2020-07-02
ta,690,2020-07-02
el,616,2020-07-02
th,582,2020-07-02
lt,437,2020-07-02
mr,420,2020-07-02
cs,331,2020-07-02
kn,321,2020-07-02
zh,310,2020-07-02
uk,283,2020-07-02
ur,259,2020-07-02
lv,251,2020-07-02
ml,248,2020-07-02
bn,244,2020-07-02
da,234,2020-07-02
te,210,2020-07-02
gu,192,2020-07-02
fi,186,2020-07-02
sl,173,2020-07-02
cy,151,2020-07-02
ht,150,2020-07-02
vi,126,2020-07-02
eu,119,2020-07-02
ko,117,2020-07-02
hu,97,2020-07-02
no,97,2020-07-02
fa,95,2020-07-02
or,87,2020-07-02
bg,76,2020-07-02
pa,56,2020-07-02
ne,55,2020-07-02
iw,50,2020-07-02
sr,45,2020-07-02
is,30,2020-07-02
hy,21,2020-07-02
si,17,2020-07-02
my,16,2020-07-02
ckb,11,2020-07-02
ka,5,2020-07-02
lo,3,2020-07-02
ps,3,2020-07-02
am,2,2020-07-02
bo,1,2020-07-02
km,1,2020-07-02
