lang,n,date
en,1128067,2020-04-03
es,326702,2020-04-03
pt,87446,2020-04-03
fr,85318,2020-04-03
und,82925,2020-04-03
in,42978,2020-04-03
it,38607,2020-04-03
ja,21836,2020-04-03
tr,19343,2020-04-03
tl,18439,2020-04-03
de,16530,2020-04-03
ca,15320,2020-04-03
hi,14297,2020-04-03
nl,9164,2020-04-03
ru,5096,2020-04-03
ar,4935,2020-04-03
th,3593,2020-04-03
ro,3074,2020-04-03
pl,2648,2020-04-03
el,2299,2020-04-03
ta,1996,2020-04-03
lt,1891,2020-04-03
sv,1721,2020-04-03
et,1667,2020-04-03
zh,1348,2020-04-03
ur,1316,2020-04-03
cs,1268,2020-04-03
mr,1167,2020-04-03
da,1085,2020-04-03
fi,1015,2020-04-03
uk,873,2020-04-03
ht,839,2020-04-03
te,755,2020-04-03
fa,753,2020-04-03
vi,737,2020-04-03
lv,732,2020-04-03
kn,681,2020-04-03
ml,606,2020-04-03
gu,478,2020-04-03
ko,473,2020-04-03
bn,447,2020-04-03
sl,404,2020-04-03
no,388,2020-04-03
cy,387,2020-04-03
eu,321,2020-04-03
ne,310,2020-04-03
or,237,2020-04-03
bg,201,2020-04-03
pa,181,2020-04-03
hu,147,2020-04-03
iw,147,2020-04-03
si,119,2020-04-03
is,114,2020-04-03
sr,104,2020-04-03
ps,41,2020-04-03
am,40,2020-04-03
hy,36,2020-04-03
my,29,2020-04-03
ckb,19,2020-04-03
lo,17,2020-04-03
ka,13,2020-04-03
km,12,2020-04-03
sd,11,2020-04-03
ug,9,2020-04-03
dv,5,2020-04-03
bo,3,2020-04-03
