lang,n,date
en,434519,2021-08-26
es,52333,2021-08-26
pt,21261,2021-08-26
fr,20516,2021-08-26
und,16238,2021-08-26
in,15386,2021-08-26
it,8968,2021-08-26
tr,7402,2021-08-26
de,6744,2021-08-26
ja,6514,2021-08-26
tl,5425,2021-08-26
nl,2771,2021-08-26
pl,1590,2021-08-26
ca,1441,2021-08-26
ru,1398,2021-08-26
hi,1287,2021-08-26
el,1223,2021-08-26
th,691,2021-08-26
sv,666,2021-08-26
et,627,2021-08-26
ar,607,2021-08-26
cs,532,2021-08-26
zh,520,2021-08-26
ro,487,2021-08-26
fi,411,2021-08-26
sl,333,2021-08-26
lv,296,2021-08-26
ta,267,2021-08-26
vi,259,2021-08-26
ml,255,2021-08-26
uk,234,2021-08-26
da,207,2021-08-26
no,169,2021-08-26
mr,168,2021-08-26
ht,145,2021-08-26
fa,143,2021-08-26
ko,134,2021-08-26
bn,121,2021-08-26
hu,121,2021-08-26
kn,99,2021-08-26
cy,93,2021-08-26
is,86,2021-08-26
gu,82,2021-08-26
ur,80,2021-08-26
iw,79,2021-08-26
te,76,2021-08-26
or,69,2021-08-26
bg,67,2021-08-26
si,67,2021-08-26
lt,64,2021-08-26
eu,59,2021-08-26
ne,26,2021-08-26
my,21,2021-08-26
pa,18,2021-08-26
sr,15,2021-08-26
am,7,2021-08-26
lo,7,2021-08-26
ps,7,2021-08-26
ka,4,2021-08-26
sd,4,2021-08-26
hy,2,2021-08-26
km,2,2021-08-26
bo,1,2021-08-26
ckb,1,2021-08-26
dv,1,2021-08-26
