lang,n,date
en,442705,2021-04-13
es,103903,2021-04-13
pt,50566,2021-04-13
fr,26617,2021-04-13
und,17372,2021-04-13
it,13572,2021-04-13
de,13454,2021-04-13
in,10747,2021-04-13
tr,9235,2021-04-13
hi,8512,2021-04-13
tl,8370,2021-04-13
nl,6869,2021-04-13
ja,4619,2021-04-13
ca,2883,2021-04-13
pl,2838,2021-04-13
ru,1472,2021-04-13
el,1437,2021-04-13
mr,1394,2021-04-13
et,1301,2021-04-13
sv,1139,2021-04-13
th,1100,2021-04-13
ro,947,2021-04-13
cs,688,2021-04-13
ta,610,2021-04-13
gu,569,2021-04-13
lv,561,2021-04-13
da,549,2021-04-13
ar,514,2021-04-13
ht,496,2021-04-13
fi,424,2021-04-13
zh,386,2021-04-13
no,297,2021-04-13
uk,272,2021-04-13
bn,261,2021-04-13
ml,255,2021-04-13
sl,234,2021-04-13
ur,223,2021-04-13
kn,203,2021-04-13
hu,165,2021-04-13
te,156,2021-04-13
cy,155,2021-04-13
or,125,2021-04-13
vi,119,2021-04-13
lt,100,2021-04-13
ko,88,2021-04-13
eu,80,2021-04-13
fa,65,2021-04-13
ne,65,2021-04-13
pa,64,2021-04-13
is,55,2021-04-13
bg,53,2021-04-13
iw,31,2021-04-13
sr,20,2021-04-13
hy,15,2021-04-13
lo,11,2021-04-13
my,7,2021-04-13
am,6,2021-04-13
si,6,2021-04-13
ckb,4,2021-04-13
ka,4,2021-04-13
km,4,2021-04-13
ps,3,2021-04-13
sd,1,2021-04-13
ug,1,2021-04-13
