lang,n,date
en,463410,2021-07-19
es,69154,2021-07-19
in,36959,2021-07-19
fr,27664,2021-07-19
pt,25652,2021-07-19
und,17285,2021-07-19
it,11679,2021-07-19
ja,5135,2021-07-19
de,4964,2021-07-19
tl,3973,2021-07-19
nl,3654,2021-07-19
tr,3580,2021-07-19
ca,2438,2021-07-19
ru,1990,2021-07-19
pl,1776,2021-07-19
hi,1754,2021-07-19
el,1446,2021-07-19
th,1377,2021-07-19
cs,672,2021-07-19
ar,600,2021-07-19
et,565,2021-07-19
ro,479,2021-07-19
sv,455,2021-07-19
zh,448,2021-07-19
lv,373,2021-07-19
fi,356,2021-07-19
ml,345,2021-07-19
ta,335,2021-07-19
vi,315,2021-07-19
ht,287,2021-07-19
bn,232,2021-07-19
da,217,2021-07-19
ko,212,2021-07-19
uk,211,2021-07-19
cy,158,2021-07-19
mr,156,2021-07-19
sl,153,2021-07-19
ur,117,2021-07-19
gu,106,2021-07-19
kn,99,2021-07-19
no,95,2021-07-19
te,95,2021-07-19
or,87,2021-07-19
hu,82,2021-07-19
fa,63,2021-07-19
my,61,2021-07-19
eu,57,2021-07-19
lt,56,2021-07-19
ne,54,2021-07-19
is,51,2021-07-19
bg,42,2021-07-19
iw,41,2021-07-19
sr,35,2021-07-19
pa,19,2021-07-19
si,19,2021-07-19
km,6,2021-07-19
lo,6,2021-07-19
am,5,2021-07-19
ka,4,2021-07-19
bo,2,2021-07-19
ckb,2,2021-07-19
hy,2,2021-07-19
dv,1,2021-07-19
ps,1,2021-07-19
sd,1,2021-07-19
