lang,n,date
en,527258,2021-12-21
es,88772,2021-12-21
fr,31362,2021-12-21
pt,19854,2021-12-21
und,17339,2021-12-21
de,15536,2021-12-21
it,13224,2021-12-21
nl,10311,2021-12-21
in,8671,2021-12-21
ca,4648,2021-12-21
ja,3930,2021-12-21
pl,2923,2021-12-21
tr,2401,2021-12-21
tl,1798,2021-12-21
ru,1565,2021-12-21
el,1557,2021-12-21
sv,1463,2021-12-21
hi,1234,2021-12-21
cs,885,2021-12-21
ar,682,2021-12-21
et,593,2021-12-21
ro,581,2021-12-21
th,536,2021-12-21
da,515,2021-12-21
fi,495,2021-12-21
zh,478,2021-12-21
lv,439,2021-12-21
no,246,2021-12-21
uk,237,2021-12-21
is,193,2021-12-21
ta,179,2021-12-21
ht,162,2021-12-21
vi,148,2021-12-21
sl,147,2021-12-21
ml,139,2021-12-21
iw,124,2021-12-21
hu,122,2021-12-21
cy,112,2021-12-21
eu,106,2021-12-21
mr,96,2021-12-21
ko,90,2021-12-21
bg,86,2021-12-21
te,85,2021-12-21
gu,84,2021-12-21
fa,81,2021-12-21
bn,78,2021-12-21
ur,67,2021-12-21
kn,59,2021-12-21
lt,58,2021-12-21
or,54,2021-12-21
si,36,2021-12-21
ne,16,2021-12-21
pa,13,2021-12-21
my,10,2021-12-21
am,7,2021-12-21
sr,7,2021-12-21
hy,5,2021-12-21
lo,5,2021-12-21
ka,3,2021-12-21
km,2,2021-12-21
sd,2,2021-12-21
ckb,1,2021-12-21
dv,1,2021-12-21
ps,1,2021-12-21
