lang,n,date
en,486554,2021-07-29
es,71377,2021-07-29
in,33578,2021-07-29
fr,26756,2021-07-29
pt,21407,2021-07-29
und,19639,2021-07-29
it,10364,2021-07-29
ja,7615,2021-07-29
tl,6912,2021-07-29
de,6486,2021-07-29
tr,4511,2021-07-29
nl,3465,2021-07-29
ca,2362,2021-07-29
pl,2301,2021-07-29
hi,1971,2021-07-29
ru,1723,2021-07-29
th,1586,2021-07-29
ar,1444,2021-07-29
el,1099,2021-07-29
et,728,2021-07-29
sv,651,2021-07-29
cs,646,2021-07-29
fi,583,2021-07-29
ro,504,2021-07-29
zh,472,2021-07-29
ta,382,2021-07-29
lv,351,2021-07-29
ht,314,2021-07-29
vi,312,2021-07-29
ur,283,2021-07-29
mr,247,2021-07-29
uk,236,2021-07-29
bn,228,2021-07-29
ml,222,2021-07-29
sl,188,2021-07-29
da,183,2021-07-29
ko,158,2021-07-29
kn,125,2021-07-29
hu,119,2021-07-29
gu,115,2021-07-29
is,106,2021-07-29
te,106,2021-07-29
no,92,2021-07-29
eu,79,2021-07-29
cy,78,2021-07-29
fa,73,2021-07-29
iw,73,2021-07-29
lt,68,2021-07-29
or,58,2021-07-29
ne,56,2021-07-29
my,38,2021-07-29
bg,30,2021-07-29
si,25,2021-07-29
pa,8,2021-07-29
km,6,2021-07-29
sr,6,2021-07-29
am,4,2021-07-29
dv,2,2021-07-29
hy,2,2021-07-29
lo,2,2021-07-29
bo,1,2021-07-29
ckb,1,2021-07-29
ps,1,2021-07-29
