lang,n,date
en,426128,2020-08-07
es,144325,2020-08-07
pt,32174,2020-08-07
und,22135,2020-08-07
in,19545,2020-08-07
fr,17553,2020-08-07
it,9930,2020-08-07
tl,7065,2020-08-07
ja,5961,2020-08-07
tr,5638,2020-08-07
de,4773,2020-08-07
ca,4627,2020-08-07
nl,3168,2020-08-07
hi,2935,2020-08-07
ru,2014,2020-08-07
pl,1598,2020-08-07
el,880,2020-08-07
ro,849,2020-08-07
et,738,2020-08-07
ar,716,2020-08-07
ta,524,2020-08-07
sv,510,2020-08-07
da,392,2020-08-07
zh,327,2020-08-07
uk,321,2020-08-07
cs,317,2020-08-07
vi,309,2020-08-07
mr,303,2020-08-07
th,284,2020-08-07
lt,275,2020-08-07
fi,250,2020-08-07
lv,241,2020-08-07
te,240,2020-08-07
bn,204,2020-08-07
ml,204,2020-08-07
gu,193,2020-08-07
kn,191,2020-08-07
no,177,2020-08-07
ur,176,2020-08-07
ht,162,2020-08-07
cy,144,2020-08-07
or,106,2020-08-07
eu,104,2020-08-07
hu,104,2020-08-07
sl,100,2020-08-07
fa,99,2020-08-07
ne,91,2020-08-07
ko,84,2020-08-07
bg,74,2020-08-07
is,73,2020-08-07
pa,46,2020-08-07
iw,40,2020-08-07
sr,21,2020-08-07
hy,13,2020-08-07
si,11,2020-08-07
my,9,2020-08-07
am,6,2020-08-07
km,6,2020-08-07
lo,5,2020-08-07
ka,4,2020-08-07
ps,3,2020-08-07
bo,2,2020-08-07
ckb,2,2020-08-07
dv,1,2020-08-07
sd,1,2020-08-07
