lang,n,date
en,469164,2020-07-21
es,138653,2020-07-21
pt,43757,2020-07-21
und,22110,2020-07-21
in,20265,2020-07-21
fr,18140,2020-07-21
tl,9193,2020-07-21
it,7866,2020-07-21
ja,5462,2020-07-21
ca,5075,2020-07-21
hi,3967,2020-07-21
de,3333,2020-07-21
nl,3217,2020-07-21
tr,2875,2020-07-21
ru,2382,2020-07-21
ro,1179,2020-07-21
ar,1026,2020-07-21
et,875,2020-07-21
pl,779,2020-07-21
ta,756,2020-07-21
sv,647,2020-07-21
ml,515,2020-07-21
el,512,2020-07-21
mr,495,2020-07-21
th,469,2020-07-21
zh,382,2020-07-21
cs,364,2020-07-21
kn,345,2020-07-21
te,343,2020-07-21
fa,290,2020-07-21
lt,277,2020-07-21
bn,253,2020-07-21
uk,233,2020-07-21
fi,227,2020-07-21
lv,226,2020-07-21
gu,223,2020-07-21
ur,217,2020-07-21
da,208,2020-07-21
ht,181,2020-07-21
no,135,2020-07-21
cy,128,2020-07-21
sl,120,2020-07-21
vi,110,2020-07-21
eu,106,2020-07-21
or,95,2020-07-21
ko,93,2020-07-21
iw,85,2020-07-21
hu,83,2020-07-21
pa,68,2020-07-21
bg,66,2020-07-21
ne,50,2020-07-21
sr,32,2020-07-21
si,26,2020-07-21
is,22,2020-07-21
ckb,19,2020-07-21
km,14,2020-07-21
my,13,2020-07-21
ps,9,2020-07-21
ka,7,2020-07-21
hy,5,2020-07-21
am,2,2020-07-21
lo,2,2020-07-21
dv,1,2020-07-21
sd,1,2020-07-21
ug,1,2020-07-21
