lang,n,date
en,660419,2020-12-22
es,103202,2020-12-22
pt,36542,2020-12-22
fr,28379,2020-12-22
und,23254,2020-12-22
in,16290,2020-12-22
it,13876,2020-12-22
de,11899,2020-12-22
tr,9062,2020-12-22
nl,6717,2020-12-22
ja,6676,2020-12-22
tl,4815,2020-12-22
ca,3797,2020-12-22
pl,3074,2020-12-22
ru,2486,2020-12-22
hi,2192,2020-12-22
th,1984,2020-12-22
el,1843,2020-12-22
ar,1257,2020-12-22
sv,1195,2020-12-22
et,1023,2020-12-22
cs,976,2020-12-22
ro,860,2020-12-22
ta,670,2020-12-22
zh,618,2020-12-22
lv,586,2020-12-22
da,487,2020-12-22
uk,460,2020-12-22
mr,368,2020-12-22
fi,323,2020-12-22
ht,319,2020-12-22
ur,297,2020-12-22
sl,238,2020-12-22
kn,209,2020-12-22
lt,209,2020-12-22
cy,193,2020-12-22
ml,191,2020-12-22
fa,183,2020-12-22
ko,171,2020-12-22
te,171,2020-12-22
no,168,2020-12-22
vi,160,2020-12-22
gu,159,2020-12-22
hu,158,2020-12-22
bn,136,2020-12-22
bg,117,2020-12-22
eu,90,2020-12-22
iw,73,2020-12-22
or,60,2020-12-22
si,54,2020-12-22
is,53,2020-12-22
ne,45,2020-12-22
pa,31,2020-12-22
my,24,2020-12-22
sr,22,2020-12-22
hy,14,2020-12-22
km,8,2020-12-22
ka,7,2020-12-22
lo,6,2020-12-22
ckb,5,2020-12-22
am,4,2020-12-22
bo,2,2020-12-22
ps,2,2020-12-22
sd,1,2020-12-22
ug,1,2020-12-22
