lang,n,date
en,439057,2021-05-14
es,64536,2021-05-14
pt,35044,2021-05-14
fr,17182,2021-05-14
und,15830,2021-05-14
in,11953,2021-05-14
it,8951,2021-05-14
hi,8579,2021-05-14
ja,5493,2021-05-14
de,5451,2021-05-14
tl,5292,2021-05-14
tr,4941,2021-05-14
nl,3254,2021-05-14
pl,2023,2021-05-14
ca,1892,2021-05-14
et,1715,2021-05-14
el,1636,2021-05-14
ru,1523,2021-05-14
ta,1417,2021-05-14
th,951,2021-05-14
mr,771,2021-05-14
ro,740,2021-05-14
ht,716,2021-05-14
sv,622,2021-05-14
kn,574,2021-05-14
cs,554,2021-05-14
ar,548,2021-05-14
ml,497,2021-05-14
te,478,2021-05-14
zh,418,2021-05-14
bn,407,2021-05-14
lv,347,2021-05-14
gu,321,2021-05-14
da,297,2021-05-14
vi,288,2021-05-14
fi,262,2021-05-14
ne,246,2021-05-14
uk,244,2021-05-14
or,217,2021-05-14
ur,169,2021-05-14
sl,167,2021-05-14
no,160,2021-05-14
hu,141,2021-05-14
pa,121,2021-05-14
ko,111,2021-05-14
cy,106,2021-05-14
lt,83,2021-05-14
eu,80,2021-05-14
fa,68,2021-05-14
si,63,2021-05-14
is,43,2021-05-14
bg,29,2021-05-14
iw,16,2021-05-14
sr,16,2021-05-14
my,12,2021-05-14
lo,4,2021-05-14
ka,3,2021-05-14
km,3,2021-05-14
am,2,2021-05-14
bo,2,2021-05-14
dv,2,2021-05-14
hy,2,2021-05-14
ps,2,2021-05-14
