lang,n,date
en,536232,2020-11-04
es,80929,2020-11-04
fr,31828,2020-11-04
it,25632,2020-11-04
pt,20838,2020-11-04
in,16801,2020-11-04
und,12888,2020-11-04
de,8035,2020-11-04
tr,6112,2020-11-04
pl,5852,2020-11-04
tl,5517,2020-11-04
el,5515,2020-11-04
nl,4726,2020-11-04
ca,4433,2020-11-04
ja,2888,2020-11-04
ru,2264,2020-11-04
hi,1301,2020-11-04
ro,1006,2020-11-04
cs,871,2020-11-04
sv,832,2020-11-04
ar,778,2020-11-04
da,725,2020-11-04
et,659,2020-11-04
lv,470,2020-11-04
uk,390,2020-11-04
ta,308,2020-11-04
th,273,2020-11-04
ht,270,2020-11-04
fi,257,2020-11-04
zh,249,2020-11-04
no,222,2020-11-04
lt,201,2020-11-04
sl,200,2020-11-04
ko,169,2020-11-04
mr,164,2020-11-04
cy,157,2020-11-04
bg,153,2020-11-04
hu,149,2020-11-04
eu,132,2020-11-04
ur,119,2020-11-04
ml,107,2020-11-04
kn,93,2020-11-04
gu,90,2020-11-04
vi,86,2020-11-04
te,78,2020-11-04
bn,73,2020-11-04
is,63,2020-11-04
or,60,2020-11-04
fa,59,2020-11-04
si,58,2020-11-04
ne,51,2020-11-04
iw,31,2020-11-04
sr,19,2020-11-04
pa,10,2020-11-04
my,9,2020-11-04
km,8,2020-11-04
ka,6,2020-11-04
hy,4,2020-11-04
am,3,2020-11-04
ckb,2,2020-11-04
dv,2,2020-11-04
ps,2,2020-11-04
ug,2,2020-11-04
lo,1,2020-11-04
sd,1,2020-11-04
