lang,n,date
en,361483,2021-05-20
es,73602,2021-05-20
pt,47200,2021-05-20
in,25481,2021-05-20
fr,16976,2021-05-20
und,14430,2021-05-20
it,8253,2021-05-20
hi,8157,2021-05-20
de,5370,2021-05-20
tl,5047,2021-05-20
ja,4727,2021-05-20
tr,3877,2021-05-20
nl,3185,2021-05-20
pl,2223,2021-05-20
ca,1894,2021-05-20
ru,1426,2021-05-20
et,1354,2021-05-20
ta,1289,2021-05-20
th,1001,2021-05-20
el,947,2021-05-20
sv,723,2021-05-20
ro,659,2021-05-20
mr,623,2021-05-20
ar,588,2021-05-20
kn,586,2021-05-20
ht,557,2021-05-20
cs,543,2021-05-20
bn,483,2021-05-20
zh,451,2021-05-20
te,438,2021-05-20
lv,435,2021-05-20
ml,408,2021-05-20
gu,339,2021-05-20
da,318,2021-05-20
vi,287,2021-05-20
fi,272,2021-05-20
or,224,2021-05-20
ur,216,2021-05-20
uk,199,2021-05-20
no,186,2021-05-20
ne,170,2021-05-20
hu,136,2021-05-20
pa,131,2021-05-20
sl,130,2021-05-20
cy,105,2021-05-20
ko,97,2021-05-20
lt,71,2021-05-20
eu,69,2021-05-20
bg,65,2021-05-20
is,62,2021-05-20
si,50,2021-05-20
fa,43,2021-05-20
iw,24,2021-05-20
my,12,2021-05-20
sr,9,2021-05-20
dv,6,2021-05-20
lo,5,2021-05-20
ps,5,2021-05-20
bo,4,2021-05-20
ka,4,2021-05-20
km,3,2021-05-20
am,2,2021-05-20
ckb,1,2021-05-20
sd,1,2021-05-20
