lang,n,date
en,995683,2020-04-06
es,286945,2020-04-06
pt,83080,2020-04-06
fr,79856,2020-04-06
und,76738,2020-04-06
it,39825,2020-04-06
in,37406,2020-04-06
ja,18756,2020-04-06
tr,17900,2020-04-06
ca,16609,2020-04-06
de,16398,2020-04-06
tl,13129,2020-04-06
hi,12074,2020-04-06
nl,7780,2020-04-06
ar,6612,2020-04-06
ru,4944,2020-04-06
th,3373,2020-04-06
ro,3168,2020-04-06
el,2651,2020-04-06
pl,2535,2020-04-06
ur,2134,2020-04-06
ta,1808,2020-04-06
da,1589,2020-04-06
et,1464,2020-04-06
sv,1399,2020-04-06
mr,1192,2020-04-06
cs,1167,2020-04-06
zh,1053,2020-04-06
lt,1051,2020-04-06
fa,1022,2020-04-06
uk,820,2020-04-06
fi,780,2020-04-06
vi,760,2020-04-06
ht,699,2020-04-06
te,653,2020-04-06
ml,627,2020-04-06
bn,617,2020-04-06
lv,612,2020-04-06
kn,493,2020-04-06
gu,455,2020-04-06
ko,381,2020-04-06
no,379,2020-04-06
sl,373,2020-04-06
eu,335,2020-04-06
cy,320,2020-04-06
or,286,2020-04-06
ne,250,2020-04-06
bg,185,2020-04-06
iw,184,2020-04-06
pa,162,2020-04-06
hu,138,2020-04-06
is,120,2020-04-06
sr,95,2020-04-06
si,93,2020-04-06
ps,89,2020-04-06
hy,52,2020-04-06
am,47,2020-04-06
my,43,2020-04-06
ckb,30,2020-04-06
sd,27,2020-04-06
ka,26,2020-04-06
lo,25,2020-04-06
km,18,2020-04-06
bo,6,2020-04-06
dv,2,2020-04-06
ug,1,2020-04-06
