lang,n,date
en,418097,2021-03-22
pt,90416,2021-03-22
es,83239,2021-03-22
fr,24820,2021-03-22
de,19594,2021-03-22
und,16426,2021-03-22
tl,14566,2021-03-22
it,13745,2021-03-22
in,11582,2021-03-22
nl,7318,2021-03-22
tr,4645,2021-03-22
pl,3814,2021-03-22
ja,3470,2021-03-22
hi,2897,2021-03-22
ca,2741,2021-03-22
el,1992,2021-03-22
ru,1715,2021-03-22
cs,1155,2021-03-22
ro,994,2021-03-22
sv,987,2021-03-22
et,924,2021-03-22
ar,520,2021-03-22
ta,458,2021-03-22
mr,415,2021-03-22
ur,414,2021-03-22
ht,398,2021-03-22
uk,398,2021-03-22
lv,380,2021-03-22
fi,363,2021-03-22
da,311,2021-03-22
zh,307,2021-03-22
gu,265,2021-03-22
th,264,2021-03-22
sl,201,2021-03-22
no,197,2021-03-22
hu,193,2021-03-22
te,158,2021-03-22
cy,154,2021-03-22
kn,134,2021-03-22
ml,122,2021-03-22
ko,112,2021-03-22
lt,108,2021-03-22
bn,105,2021-03-22
or,98,2021-03-22
vi,87,2021-03-22
bg,86,2021-03-22
eu,73,2021-03-22
is,69,2021-03-22
ne,69,2021-03-22
pa,59,2021-03-22
fa,56,2021-03-22
iw,52,2021-03-22
sr,25,2021-03-22
si,18,2021-03-22
hy,6,2021-03-22
km,6,2021-03-22
my,6,2021-03-22
am,5,2021-03-22
ka,3,2021-03-22
ps,2,2021-03-22
lo,1,2021-03-22
