lang,n,date
en,497112,2021-02-03
es,104198,2021-02-03
pt,30672,2021-02-03
fr,26442,2021-02-03
in,18067,2021-02-03
und,16507,2021-02-03
de,11591,2021-02-03
it,10217,2021-02-03
nl,7375,2021-02-03
ja,5286,2021-02-03
tl,4482,2021-02-03
tr,4249,2021-02-03
ca,3850,2021-02-03
pl,2396,2021-02-03
ru,1866,2021-02-03
el,1853,2021-02-03
sv,1119,2021-02-03
hi,1076,2021-02-03
ro,884,2021-02-03
et,857,2021-02-03
cs,827,2021-02-03
ar,725,2021-02-03
lv,561,2021-02-03
da,449,2021-02-03
th,448,2021-02-03
zh,367,2021-02-03
ht,349,2021-02-03
fi,326,2021-02-03
vi,263,2021-02-03
uk,261,2021-02-03
no,235,2021-02-03
sl,230,2021-02-03
ta,174,2021-02-03
ur,158,2021-02-03
ko,136,2021-02-03
cy,131,2021-02-03
ml,125,2021-02-03
lt,109,2021-02-03
hu,103,2021-02-03
fa,100,2021-02-03
eu,98,2021-02-03
mr,81,2021-02-03
bg,77,2021-02-03
bn,72,2021-02-03
iw,71,2021-02-03
kn,69,2021-02-03
gu,59,2021-02-03
te,55,2021-02-03
my,40,2021-02-03
is,31,2021-02-03
si,29,2021-02-03
sr,25,2021-02-03
ne,22,2021-02-03
or,13,2021-02-03
hy,10,2021-02-03
am,7,2021-02-03
ka,7,2021-02-03
pa,7,2021-02-03
ckb,4,2021-02-03
lo,4,2021-02-03
km,3,2021-02-03
bo,1,2021-02-03
