lang,n,date
en,109820,2020-02-06
es,33608,2020-02-06
pt,8719,2020-02-06
fr,7654,2020-02-06
und,7309,2020-02-06
it,5027,2020-02-06
in,3290,2020-02-06
de,2370,2020-02-06
ja,2057,2020-02-06
ca,1558,2020-02-06
tr,1363,2020-02-06
nl,1263,2020-02-06
tl,1129,2020-02-06
zh,891,2020-02-06
lt,877,2020-02-06
hi,547,2020-02-06
ro,402,2020-02-06
pl,394,2020-02-06
th,294,2020-02-06
ko,224,2020-02-06
ru,209,2020-02-06
da,205,2020-02-06
ar,201,2020-02-06
sv,194,2020-02-06
cs,168,2020-02-06
ta,151,2020-02-06
ht,136,2020-02-06
et,130,2020-02-06
fi,120,2020-02-06
ml,85,2020-02-06
ur,84,2020-02-06
el,78,2020-02-06
gu,78,2020-02-06
fa,63,2020-02-06
te,58,2020-02-06
bn,50,2020-02-06
kn,47,2020-02-06
vi,43,2020-02-06
no,41,2020-02-06
mr,40,2020-02-06
or,34,2020-02-06
sl,34,2020-02-06
cy,24,2020-02-06
ne,21,2020-02-06
pa,21,2020-02-06
iw,20,2020-02-06
uk,17,2020-02-06
lv,15,2020-02-06
is,11,2020-02-06
am,9,2020-02-06
eu,9,2020-02-06
ps,6,2020-02-06
si,6,2020-02-06
bg,5,2020-02-06
hu,5,2020-02-06
km,5,2020-02-06
bo,4,2020-02-06
hy,4,2020-02-06
lo,4,2020-02-06
sr,2,2020-02-06
ckb,1,2020-02-06
ka,1,2020-02-06
sd,1,2020-02-06
