lang,n,date
en,336666,2020-07-25
es,107313,2020-07-25
pt,31752,2020-07-25
und,18945,2020-07-25
fr,14570,2020-07-25
in,11414,2020-07-25
it,7176,2020-07-25
tl,6361,2020-07-25
ja,4627,2020-07-25
hi,4341,2020-07-25
de,3402,2020-07-25
ca,3397,2020-07-25
tr,3079,2020-07-25
nl,2476,2020-07-25
ru,1719,2020-07-25
ar,923,2020-07-25
pl,865,2020-07-25
ta,787,2020-07-25
ro,776,2020-07-25
et,671,2020-07-25
ml,519,2020-07-25
cs,404,2020-07-25
mr,403,2020-07-25
sv,376,2020-07-25
el,339,2020-07-25
lt,308,2020-07-25
te,302,2020-07-25
gu,283,2020-07-25
bn,275,2020-07-25
kn,269,2020-07-25
zh,268,2020-07-25
th,253,2020-07-25
uk,251,2020-07-25
ur,243,2020-07-25
ht,231,2020-07-25
fa,209,2020-07-25
da,191,2020-07-25
vi,177,2020-07-25
or,142,2020-07-25
fi,128,2020-07-25
lv,122,2020-07-25
sl,108,2020-07-25
ko,104,2020-07-25
hu,86,2020-07-25
no,85,2020-07-25
cy,72,2020-07-25
iw,60,2020-07-25
eu,58,2020-07-25
bg,53,2020-07-25
pa,48,2020-07-25
ne,30,2020-07-25
is,23,2020-07-25
sr,17,2020-07-25
si,13,2020-07-25
my,10,2020-07-25
hy,8,2020-07-25
ka,5,2020-07-25
ckb,4,2020-07-25
ps,4,2020-07-25
lo,2,2020-07-25
am,1,2020-07-25
bo,1,2020-07-25
dv,1,2020-07-25
km,1,2020-07-25
sd,1,2020-07-25
