lang,n,date
en,355693,2020-07-05
es,100048,2020-07-05
pt,28955,2020-07-05
und,19878,2020-07-05
fr,12350,2020-07-05
in,11982,2020-07-05
it,7145,2020-07-05
tl,6244,2020-07-05
ja,4508,2020-07-05
de,3350,2020-07-05
hi,3242,2020-07-05
tr,3161,2020-07-05
ca,3100,2020-07-05
nl,1686,2020-07-05
ru,1548,2020-07-05
ar,1322,2020-07-05
et,882,2020-07-05
ro,788,2020-07-05
ta,669,2020-07-05
pl,556,2020-07-05
sv,508,2020-07-05
mr,441,2020-07-05
ml,407,2020-07-05
el,386,2020-07-05
kn,367,2020-07-05
lt,330,2020-07-05
th,314,2020-07-05
zh,291,2020-07-05
cs,272,2020-07-05
bn,270,2020-07-05
te,237,2020-07-05
ur,218,2020-07-05
uk,212,2020-07-05
ht,194,2020-07-05
gu,193,2020-07-05
sl,171,2020-07-05
da,164,2020-07-05
fi,151,2020-07-05
or,126,2020-07-05
fa,122,2020-07-05
ko,94,2020-07-05
vi,94,2020-07-05
cy,85,2020-07-05
lv,84,2020-07-05
hu,81,2020-07-05
iw,69,2020-07-05
eu,64,2020-07-05
ne,60,2020-07-05
no,60,2020-07-05
pa,57,2020-07-05
bg,49,2020-07-05
sr,20,2020-07-05
hy,16,2020-07-05
is,13,2020-07-05
ps,9,2020-07-05
si,7,2020-07-05
ckb,6,2020-07-05
my,4,2020-07-05
km,3,2020-07-05
ka,1,2020-07-05
lo,1,2020-07-05
sd,1,2020-07-05
