lang,n,date
en,217197,2022-02-14
es,33237,2022-02-14
pt,16080,2022-02-14
fr,13356,2022-02-14
in,13230,2022-02-14
und,8157,2022-02-14
it,7916,2022-02-14
de,6238,2022-02-14
tr,3613,2022-02-14
ja,3585,2022-02-14
nl,3205,2022-02-14
ar,2882,2022-02-14
tl,1880,2022-02-14
pl,1445,2022-02-14
ru,1121,2022-02-14
ca,1092,2022-02-14
hi,832,2022-02-14
el,587,2022-02-14
sv,538,2022-02-14
cs,515,2022-02-14
zh,414,2022-02-14
th,358,2022-02-14
et,326,2022-02-14
ro,320,2022-02-14
lv,277,2022-02-14
da,233,2022-02-14
fi,220,2022-02-14
vi,182,2022-02-14
uk,164,2022-02-14
no,142,2022-02-14
ht,122,2022-02-14
sl,105,2022-02-14
ta,99,2022-02-14
ur,73,2022-02-14
ml,68,2022-02-14
gu,66,2022-02-14
mr,63,2022-02-14
bn,58,2022-02-14
is,58,2022-02-14
cy,54,2022-02-14
ko,51,2022-02-14
te,50,2022-02-14
lt,42,2022-02-14
eu,40,2022-02-14
bg,39,2022-02-14
fa,35,2022-02-14
iw,33,2022-02-14
or,30,2022-02-14
hu,29,2022-02-14
kn,26,2022-02-14
ne,15,2022-02-14
hy,10,2022-02-14
pa,10,2022-02-14
si,10,2022-02-14
sr,9,2022-02-14
my,8,2022-02-14
lo,4,2022-02-14
ka,3,2022-02-14
am,2,2022-02-14
km,2,2022-02-14
ckb,1,2022-02-14
ps,1,2022-02-14
