lang,n,date
en,307988,2021-03-27
es,72504,2021-03-27
pt,71122,2021-03-27
tl,22993,2021-03-27
fr,22493,2021-03-27
und,13304,2021-03-27
de,13246,2021-03-27
it,13181,2021-03-27
in,9546,2021-03-27
tr,4375,2021-03-27
nl,4276,2021-03-27
pl,3346,2021-03-27
ja,3127,2021-03-27
hi,2671,2021-03-27
ca,2300,2021-03-27
el,1396,2021-03-27
ru,1067,2021-03-27
sv,739,2021-03-27
ro,735,2021-03-27
et,704,2021-03-27
cs,687,2021-03-27
mr,487,2021-03-27
ar,485,2021-03-27
ht,362,2021-03-27
ur,355,2021-03-27
fi,336,2021-03-27
ta,259,2021-03-27
da,250,2021-03-27
uk,241,2021-03-27
gu,240,2021-03-27
zh,230,2021-03-27
lv,207,2021-03-27
no,200,2021-03-27
sl,200,2021-03-27
hu,182,2021-03-27
th,146,2021-03-27
te,137,2021-03-27
ml,131,2021-03-27
bn,119,2021-03-27
vi,117,2021-03-27
kn,115,2021-03-27
cy,110,2021-03-27
lt,93,2021-03-27
is,87,2021-03-27
ko,77,2021-03-27
or,73,2021-03-27
bg,65,2021-03-27
pa,52,2021-03-27
fa,50,2021-03-27
eu,41,2021-03-27
iw,38,2021-03-27
ne,23,2021-03-27
sr,16,2021-03-27
si,10,2021-03-27
am,8,2021-03-27
my,7,2021-03-27
hy,6,2021-03-27
km,5,2021-03-27
ckb,3,2021-03-27
ps,2,2021-03-27
dv,1,2021-03-27
ka,1,2021-03-27
lo,1,2021-03-27
