lang,n,date
en,458273,2021-02-08
es,92109,2021-02-08
pt,26293,2021-02-08
fr,22838,2021-02-08
in,17847,2021-02-08
und,14946,2021-02-08
de,13800,2021-02-08
it,10474,2021-02-08
nl,4968,2021-02-08
ja,4350,2021-02-08
tl,4295,2021-02-08
tr,4218,2021-02-08
ca,3358,2021-02-08
ru,1999,2021-02-08
pl,1611,2021-02-08
el,1587,2021-02-08
cs,899,2021-02-08
hi,798,2021-02-08
ro,750,2021-02-08
sv,744,2021-02-08
et,674,2021-02-08
ar,626,2021-02-08
lv,459,2021-02-08
da,450,2021-02-08
uk,442,2021-02-08
th,391,2021-02-08
vi,293,2021-02-08
zh,280,2021-02-08
fi,264,2021-02-08
ht,229,2021-02-08
no,204,2021-02-08
ta,174,2021-02-08
ml,158,2021-02-08
sl,124,2021-02-08
cy,120,2021-02-08
hu,110,2021-02-08
lt,106,2021-02-08
mr,100,2021-02-08
ko,99,2021-02-08
ur,97,2021-02-08
bg,85,2021-02-08
eu,85,2021-02-08
fa,81,2021-02-08
iw,69,2021-02-08
bn,57,2021-02-08
is,53,2021-02-08
te,51,2021-02-08
kn,46,2021-02-08
gu,45,2021-02-08
ne,35,2021-02-08
si,24,2021-02-08
or,21,2021-02-08
my,20,2021-02-08
sr,17,2021-02-08
pa,12,2021-02-08
hy,5,2021-02-08
km,5,2021-02-08
dv,3,2021-02-08
lo,3,2021-02-08
ps,3,2021-02-08
am,2,2021-02-08
