lang,n,date
en,378033,2020-06-27
es,92878,2020-06-27
pt,29148,2020-06-27
und,20611,2020-06-27
in,13307,2020-06-27
fr,13084,2020-06-27
it,6981,2020-06-27
tl,5777,2020-06-27
ja,4207,2020-06-27
tr,3864,2020-06-27
hi,3701,2020-06-27
de,3141,2020-06-27
ca,2684,2020-06-27
ru,1846,2020-06-27
nl,1825,2020-06-27
ar,1181,2020-06-27
ta,1068,2020-06-27
th,766,2020-06-27
ro,667,2020-06-27
et,564,2020-06-27
sv,525,2020-06-27
pl,521,2020-06-27
ur,430,2020-06-27
el,419,2020-06-27
mr,403,2020-06-27
lt,354,2020-06-27
kn,320,2020-06-27
ml,290,2020-06-27
cs,281,2020-06-27
zh,268,2020-06-27
uk,247,2020-06-27
te,239,2020-06-27
bn,226,2020-06-27
gu,202,2020-06-27
ht,172,2020-06-27
fi,168,2020-06-27
da,158,2020-06-27
sl,135,2020-06-27
vi,114,2020-06-27
fa,111,2020-06-27
or,107,2020-06-27
lv,105,2020-06-27
ko,98,2020-06-27
no,95,2020-06-27
ne,94,2020-06-27
cy,90,2020-06-27
hu,71,2020-06-27
bg,52,2020-06-27
pa,48,2020-06-27
eu,45,2020-06-27
iw,40,2020-06-27
sr,26,2020-06-27
is,24,2020-06-27
hy,16,2020-06-27
si,15,2020-06-27
ps,14,2020-06-27
my,12,2020-06-27
ckb,6,2020-06-27
sd,5,2020-06-27
am,4,2020-06-27
km,2,2020-06-27
lo,2,2020-06-27
dv,1,2020-06-27
ka,1,2020-06-27
