lang,n,date
en,233603,2021-11-23
es,42188,2021-11-23
fr,22762,2021-11-23
de,16640,2021-11-23
pt,14162,2021-11-23
it,12149,2021-11-23
und,11108,2021-11-23
nl,9736,2021-11-23
in,6744,2021-11-23
pl,4599,2021-11-23
tr,3104,2021-11-23
ja,3056,2021-11-23
ca,2519,2021-11-23
el,2219,2021-11-23
ru,2057,2021-11-23
tl,2042,2021-11-23
cs,2036,2021-11-23
hi,835,2021-11-23
sv,835,2021-11-23
et,483,2021-11-23
ro,480,2021-11-23
lv,400,2021-11-23
da,360,2021-11-23
th,359,2021-11-23
ar,345,2021-11-23
zh,332,2021-11-23
uk,330,2021-11-23
sl,262,2021-11-23
fi,255,2021-11-23
hu,154,2021-11-23
no,152,2021-11-23
ta,141,2021-11-23
vi,119,2021-11-23
gu,104,2021-11-23
ht,90,2021-11-23
cy,83,2021-11-23
bn,82,2021-11-23
ml,81,2021-11-23
mr,81,2021-11-23
is,78,2021-11-23
iw,73,2021-11-23
eu,71,2021-11-23
fa,69,2021-11-23
ko,67,2021-11-23
ur,57,2021-11-23
or,56,2021-11-23
te,53,2021-11-23
bg,41,2021-11-23
lt,36,2021-11-23
kn,33,2021-11-23
pa,20,2021-11-23
ne,18,2021-11-23
sr,16,2021-11-23
hy,11,2021-11-23
si,10,2021-11-23
my,8,2021-11-23
lo,7,2021-11-23
ckb,2,2021-11-23
km,2,2021-11-23
ps,2,2021-11-23
am,1,2021-11-23
bo,1,2021-11-23
ka,1,2021-11-23
