lang,n,date
en,124211,2020-01-27
es,39280,2020-01-27
fr,13525,2020-01-27
in,11123,2020-01-27
pt,10106,2020-01-27
und,8986,2020-01-27
de,3763,2020-01-27
tr,3578,2020-01-27
tl,3096,2020-01-27
it,2718,2020-01-27
ja,2400,2020-01-27
nl,2360,2020-01-27
ca,2006,2020-01-27
lt,1337,2020-01-27
zh,777,2020-01-27
th,772,2020-01-27
ro,697,2020-01-27
pl,641,2020-01-27
hi,418,2020-01-27
cs,324,2020-01-27
ru,287,2020-01-27
sv,285,2020-01-27
da,261,2020-01-27
fi,253,2020-01-27
ar,246,2020-01-27
ta,227,2020-01-27
et,226,2020-01-27
ur,178,2020-01-27
ko,161,2020-01-27
ht,154,2020-01-27
el,96,2020-01-27
si,72,2020-01-27
ml,60,2020-01-27
fa,58,2020-01-27
sl,46,2020-01-27
bn,45,2020-01-27
gu,44,2020-01-27
no,41,2020-01-27
lv,37,2020-01-27
vi,37,2020-01-27
cy,35,2020-01-27
kn,27,2020-01-27
or,25,2020-01-27
uk,25,2020-01-27
ne,23,2020-01-27
te,22,2020-01-27
is,19,2020-01-27
eu,17,2020-01-27
iw,16,2020-01-27
hu,12,2020-01-27
mr,11,2020-01-27
pa,11,2020-01-27
km,10,2020-01-27
my,6,2020-01-27
sr,6,2020-01-27
lo,5,2020-01-27
bg,4,2020-01-27
bo,2,2020-01-27
ka,2,2020-01-27
am,1,2020-01-27
ckb,1,2020-01-27
ps,1,2020-01-27
ug,1,2020-01-27
