lang,n,date
en,118703,2020-02-01
es,45060,2020-02-01
pt,11537,2020-02-01
it,9747,2020-02-01
und,9240,2020-02-01
fr,7775,2020-02-01
in,6579,2020-02-01
de,3778,2020-02-01
tr,3206,2020-02-01
tl,2465,2020-02-01
ja,2343,2020-02-01
ca,2334,2020-02-01
lt,1495,2020-02-01
nl,1122,2020-02-01
zh,843,2020-02-01
hi,762,2020-02-01
ro,556,2020-02-01
pl,520,2020-02-01
th,396,2020-02-01
sv,317,2020-02-01
da,301,2020-02-01
ta,268,2020-02-01
ar,243,2020-02-01
fi,231,2020-02-01
ko,224,2020-02-01
ht,222,2020-02-01
cs,214,2020-02-01
ru,211,2020-02-01
ur,182,2020-02-01
et,180,2020-02-01
fa,114,2020-02-01
ml,101,2020-02-01
el,90,2020-02-01
vi,88,2020-02-01
sl,57,2020-02-01
no,54,2020-02-01
mr,47,2020-02-01
te,41,2020-02-01
gu,38,2020-02-01
bn,35,2020-02-01
cy,32,2020-02-01
si,32,2020-02-01
ne,30,2020-02-01
iw,28,2020-02-01
kn,28,2020-02-01
lv,27,2020-02-01
or,21,2020-02-01
eu,19,2020-02-01
dv,16,2020-02-01
hu,16,2020-02-01
is,13,2020-02-01
ps,12,2020-02-01
uk,10,2020-02-01
my,7,2020-02-01
km,6,2020-02-01
ckb,5,2020-02-01
pa,5,2020-02-01
sd,4,2020-02-01
am,3,2020-02-01
bg,3,2020-02-01
hy,2,2020-02-01
lo,2,2020-02-01
ka,1,2020-02-01
sr,1,2020-02-01
