lang,n,date
en,312315,2021-10-20
es,36186,2021-10-20
pt,18816,2021-10-20
und,12127,2021-10-20
fr,12078,2021-10-20
it,8009,2021-10-20
in,7796,2021-10-20
de,5660,2021-10-20
nl,4478,2021-10-20
ja,4348,2021-10-20
tr,2931,2021-10-20
tl,2805,2021-10-20
ru,2455,2021-10-20
pl,2018,2021-10-20
cs,1786,2021-10-20
ca,1120,2021-10-20
ar,983,2021-10-20
ro,968,2021-10-20
el,880,2021-10-20
hi,800,2021-10-20
lv,792,2021-10-20
sv,495,2021-10-20
uk,406,2021-10-20
et,388,2021-10-20
th,363,2021-10-20
zh,304,2021-10-20
fi,272,2021-10-20
sl,260,2021-10-20
ta,171,2021-10-20
da,142,2021-10-20
vi,132,2021-10-20
ht,114,2021-10-20
hu,114,2021-10-20
mr,111,2021-10-20
ko,105,2021-10-20
bg,92,2021-10-20
bn,82,2021-10-20
ml,82,2021-10-20
gu,80,2021-10-20
no,69,2021-10-20
ur,65,2021-10-20
cy,60,2021-10-20
te,60,2021-10-20
fa,47,2021-10-20
is,38,2021-10-20
lt,38,2021-10-20
eu,34,2021-10-20
kn,33,2021-10-20
iw,31,2021-10-20
or,30,2021-10-20
ne,26,2021-10-20
sr,24,2021-10-20
si,20,2021-10-20
pa,17,2021-10-20
my,8,2021-10-20
ka,6,2021-10-20
am,4,2021-10-20
hy,3,2021-10-20
lo,3,2021-10-20
ckb,2,2021-10-20
bo,1,2021-10-20
dv,1,2021-10-20
km,1,2021-10-20
ps,1,2021-10-20
