lang,n,date
en,385477,2021-12-14
es,55153,2021-12-14
fr,21532,2021-12-14
pt,14311,2021-12-14
und,12833,2021-12-14
it,10736,2021-12-14
in,8327,2021-12-14
de,8312,2021-12-14
nl,5711,2021-12-14
pl,3774,2021-12-14
ja,3258,2021-12-14
tr,2662,2021-12-14
tl,2133,2021-12-14
ca,2038,2021-12-14
ru,1539,2021-12-14
hi,1157,2021-12-14
sv,1064,2021-12-14
el,1009,2021-12-14
cs,857,2021-12-14
no,599,2021-12-14
et,530,2021-12-14
ro,505,2021-12-14
fi,444,2021-12-14
da,394,2021-12-14
zh,394,2021-12-14
ar,385,2021-12-14
th,380,2021-12-14
lv,302,2021-12-14
uk,288,2021-12-14
ta,270,2021-12-14
vi,163,2021-12-14
sl,149,2021-12-14
hu,128,2021-12-14
mr,127,2021-12-14
bn,122,2021-12-14
eu,119,2021-12-14
ht,116,2021-12-14
gu,112,2021-12-14
cy,99,2021-12-14
ko,98,2021-12-14
ml,93,2021-12-14
ur,84,2021-12-14
te,73,2021-12-14
iw,61,2021-12-14
kn,53,2021-12-14
or,50,2021-12-14
is,48,2021-12-14
lt,42,2021-12-14
bg,38,2021-12-14
fa,29,2021-12-14
pa,21,2021-12-14
ne,18,2021-12-14
si,15,2021-12-14
sr,9,2021-12-14
hy,7,2021-12-14
am,4,2021-12-14
my,4,2021-12-14
ka,3,2021-12-14
lo,3,2021-12-14
km,2,2021-12-14
ckb,1,2021-12-14
ps,1,2021-12-14
sd,1,2021-12-14
