lang,n,date
en,183205,2021-11-21
es,27093,2021-11-21
de,14574,2021-11-21
fr,14164,2021-11-21
it,9568,2021-11-21
und,9268,2021-11-21
pt,8160,2021-11-21
nl,7414,2021-11-21
in,5197,2021-11-21
pl,3180,2021-11-21
tr,2959,2021-11-21
ja,2708,2021-11-21
tl,1956,2021-11-21
cs,1908,2021-11-21
ca,1311,2021-11-21
el,1272,2021-11-21
ru,1221,2021-11-21
sv,792,2021-11-21
hi,715,2021-11-21
ro,420,2021-11-21
et,326,2021-11-21
da,318,2021-11-21
ar,274,2021-11-21
fi,258,2021-11-21
zh,253,2021-11-21
sl,234,2021-11-21
th,219,2021-11-21
lv,197,2021-11-21
uk,160,2021-11-21
no,144,2021-11-21
vi,130,2021-11-21
hu,111,2021-11-21
ta,111,2021-11-21
ht,83,2021-11-21
ml,58,2021-11-21
fa,57,2021-11-21
bn,56,2021-11-21
iw,56,2021-11-21
gu,55,2021-11-21
mr,52,2021-11-21
ur,51,2021-11-21
cy,49,2021-11-21
ko,43,2021-11-21
bg,41,2021-11-21
te,40,2021-11-21
is,36,2021-11-21
lt,36,2021-11-21
or,26,2021-11-21
sr,22,2021-11-21
eu,21,2021-11-21
kn,19,2021-11-21
si,11,2021-11-21
pa,6,2021-11-21
ne,5,2021-11-21
my,4,2021-11-21
am,3,2021-11-21
ckb,3,2021-11-21
hy,2,2021-11-21
ka,1,2021-11-21
lo,1,2021-11-21
ps,1,2021-11-21
sd,1,2021-11-21
